"","07-PosterA","07-PosterB"
"J10",NA,NA
"J11",734.83,NA
"J21",NA,NA
"J22",175.7,NA
"J23",NA,NA
"J32",NA,NA
"J33",NA,NA
"J41",NA,NA
"J42",NA,NA
"J43",NA,NA
