"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",0.1,0.17,NA,0.4,0.43,0.4,0.07,NA
"J11",0.6,0.07,NA,0.2,1.03,0.13,0.23,0.13
"J21",NA,NA,NA,0.13,1.63,0.37,NA,NA
"J22",NA,0.37,NA,NA,0.73,0.43,0.1,0.1
"J23",NA,NA,NA,0.73,0.07,0.63,0.2,NA
"J32",0.37,0.13,NA,0.2,NA,NA,1.57,0.3
"J33",0.67,0.47,NA,1,0.2,0.67,0.4,0.37
"J41",NA,NA,NA,1.57,0.03,NA,NA,NA
"J42",NA,NA,NA,NA,NA,0.27,NA,0.07
"J43",NA,NA,NA,NA,NA,0.3,0.33,NA
