"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",0.07,NA,NA,0.33,0.17,0.63,NA,NA
"J11",0.13,0.97,NA,0.47,0.27,NA,NA,NA
"J21",NA,NA,NA,NA,NA,0.6,0.33,0.03
"J22",NA,1.17,NA,0.57,0.73,0.2,NA,NA
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",0.32,0.8,NA,0.32,NA,NA,NA,NA
"J41",NA,0.2,NA,0.07,0.6,NA,NA,NA
"J42",NA,1.2,NA,0.17,0.3,0.2,NA,NA
"J43",NA,0.4,NA,0.83,0.7,0.47,0.2,NA
