"","13-PosterA","13-PopA"
"J10",NA,NA
"J11",NA,NA
"J21",NA,NA
"J22",NA,NA
"J23",1,NA
"J32",NA,NA
"J33",NA,NA
"J41",NA,NA
"J42",NA,NA
"J43",NA,NA
