"","26-PosterA","26-PosterB"
"J10",NA,NA
"J11",791.46,757.03
"J21",NA,NA
"J22",NA,NA
"J23",95.17,NA
"J32",NA,NA
"J33",NA,100.87
"J41",NA,27.03
"J42",NA,NA
"J43",NA,NA
