"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",36.13,35.87,NA,29.63,29.43,185.23,186.27,NA
"J11",37.67,37.5,NA,37.37,37.23,890.02,36.83,543
"J21",NA,NA,NA,93.13,51.23,53.6,NA,NA
"J22",NA,60.47,NA,NA,30.17,60.2,30.73,30.7
"J23",NA,NA,NA,95.37,47.97,40.87,43.13,NA
"J32",25.23,32.87,NA,33.2,NA,NA,31.13,29.63
"J33",102.2,102.07,NA,101.93,101.73,101.4,101.2,101.07
"J41",NA,NA,NA,125.37,125.33,NA,NA,NA
"J42",NA,NA,NA,NA,NA,24.4,NA,24.13
"J43",NA,NA,NA,NA,NA,28.6,28.97,NA
