"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,0.1,0.1,NA,NA,NA,NA,0.27,0.1,0.07
"J11",NA,NA,NA,1.07,0.7,0.2,NA,NA,NA,NA,5.47,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA
"J22",NA,NA,NA,0.17,0.43,NA,NA,NA,NA,NA,0.23,0.07
"J23",0.17,0.23,0.23,2.07,NA,0.47,NA,0.17,0.03,NA,2.63,3.17
"J32",0.07,0.97,NA,0.97,NA,0.8,NA,NA,NA,NA,0.8,NA
"J33",NA,NA,NA,1.36,1.16,0.56,0.08,0.52,NA,0.68,2.84,0.36
"J41",NA,NA,NA,0.37,0.67,NA,NA,NA,NA,NA,0.73,0.07
"J42",1.57,0.2,NA,0.17,0.9,NA,NA,0.17,NA,NA,11.3,NA
"J43",0.13,NA,NA,0.77,1,NA,NA,NA,NA,NA,0.07,NA
