"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",0.5,2.33,NA,0.4,2.13,4.3,1.7,0.37
"J11",12.4,4.97,NA,5.53,14.97,20.2,11.27,5.7
"J21",1.57,21.37,NA,8.2,6.73,14.17,0.37,0.23
"J22",NA,0.5,NA,0.33,0.07,0.6,NA,NA
"J23",2.27,22.23,NA,4.33,16.4,4.97,0.77,0.73
"J32",NA,5.53,NA,19.1,18.13,10.63,2.33,8.33
"J33",4.6,8.13,NA,6.3,5.17,5.5,3.2,3.2
"J41",NA,NA,NA,1.03,8.37,10.07,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA
