"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,4,2,NA,NA,NA,NA,NA,3,NA
"J11",5,7,6,7,6,4,4,5,2,2,14,5
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"J22",1,NA,NA,NA,NA,1,NA,NA,NA,NA,11,4
"J23",6,3,1,4,2,2,NA,NA,NA,NA,5,3
"J32",2,NA,NA,NA,NA,1,NA,NA,1,NA,6,4
"J33",1,NA,NA,2,4,1,2,2,NA,1,7,2
"J41",12,1,NA,1,1,5,2,5,NA,NA,4,1
"J42",4,NA,NA,4,3,1,NA,NA,NA,NA,4,NA
"J43",1,NA,NA,5,3,NA,NA,NA,NA,NA,7,NA
