"","26-PosterA","26-PosterB"
"J10",NA,NA
"J11",14.97,31.8
"J21",NA,NA
"J22",NA,NA
"J23",1.9,NA
"J32",NA,NA
"J33",NA,0.2
"J41",NA,0.07
"J42",NA,NA
"J43",NA,NA
