"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",77.83,NA,NA,76.27,76.73,74.33,NA,NA
"J11",5.97,5.73,NA,5.27,5,NA,NA,NA
"J21",NA,NA,NA,NA,NA,7.73,7.4,7.37
"J22",NA,1.23,NA,3.1,3.2,2.77,NA,NA
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",61.24,60.56,NA,60.72,NA,NA,NA,NA
"J41",NA,46.03,NA,45.97,46.23,NA,NA,NA
"J42",NA,3.7,NA,4.03,4.9,4.63,NA,NA
"J43",NA,60.6,NA,60.1,59.73,61.4,61.33,NA
