"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",0.13,2.73,NA,17.1,19.63,1.53,NA,NA
"J11",0.03,4.37,NA,2.27,9.7,4.73,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,5.37,NA,3.17,0.83,2.47,0.43,0.2
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",0.48,5.84,NA,8.72,4.96,0.96,0.36,NA
"J41",0.2,1.27,NA,1.23,22.43,8.9,NA,NA
"J42",NA,5.97,NA,5.73,0.67,0.73,NA,NA
"J43",0.73,1,NA,2.07,4.9,3.87,NA,0.43
