"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",1,NA,NA,2,1,2,NA,NA
"J11",1,3,NA,1,1,NA,NA,NA
"J21",NA,NA,NA,NA,NA,1,1,1
"J22",NA,4,NA,5,3,1,NA,NA
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",1,3,NA,1,NA,NA,NA,NA
"J41",NA,1,NA,1,1,NA,NA,NA
"J42",NA,5,NA,2,1,1,NA,NA
"J43",NA,2,NA,5,2,2,2,NA
