"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",9,1,6,9,NA,10,8,24,15,4,2,2
"J11",2,1,NA,6,1,13,NA,8,5,4,3,2
"J21",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",1,NA,1,17,NA,29,6,2,8,6,3,2
"J32",10,NA,10,6,NA,4,1,6,3,NA,1,1
"J33",3,NA,4,10,3,4,1,4,4,3,2,2
"J41",3,NA,3,9,NA,14,NA,6,9,4,1,1
"J42",4,NA,5,9,NA,11,2,6,5,3,NA,NA
"J43",4,NA,2,5,NA,11,2,19,21,7,4,3
