"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",1,NA,2,2,NA,1,1,1,NA,NA,NA,NA
"J11",6,5,2,5,1,9,NA,9,8,7,1,NA
"J21",5,NA,1,3,NA,11,4,5,5,3,2,NA
"J22",18,2,2,4,NA,4,1,3,3,3,2,1
"J23",2,NA,2,4,NA,5,NA,3,3,2,3,1
"J32",1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"J33",2,NA,NA,2,NA,1,NA,2,NA,2,2,1
"J41",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
