"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",129.3,127.7,NA,NA,NA,NA,NA,NA,143.53,NA,128.63,127.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11",NA,NA,65.63,NA,NA,NA,NA,NA,68.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J21",NA,16.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,11.97,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,24.97,NA,NA,NA
"J23",82.83,82.5,83.03,NA,84.4,84.8,NA,NA,NA,NA,NA,85.83,NA,NA,NA,83.87,83.9,85.37,88.47,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.24,NA,NA,NA,10.96,NA,NA,NA,NA,NA
"J41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,NA,NA,NA,86.8,88.3,NA,NA,NA,NA
"J42",NA,NA,26.27,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,27.23,NA,NA,NA,NA
"J43",NA,89.9,86.57,NA,NA,NA,NA,NA,NA,NA,NA,86.23,NA,NA,NA,85.87,NA,NA,NA,NA,NA
