"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",1,3,NA,3,2,2,1,NA
"J11",1,1,NA,2,3,1,2,1
"J21",NA,NA,NA,2,4,2,NA,NA
"J22",NA,1,NA,NA,4,2,1,2
"J23",NA,NA,NA,1,1,2,1,NA
"J32",2,1,NA,1,NA,NA,2,1
"J33",2,2,NA,2,1,2,2,2
"J41",NA,NA,NA,1,1,NA,NA,NA
"J42",NA,NA,NA,NA,NA,1,NA,1
"J43",NA,NA,NA,NA,NA,1,4,NA
