"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",1,2,NA,1,5,4,2,2
"J11",8,3,NA,5,11,7,10,13
"J21",3,9,NA,6,8,9,1,1
"J22",NA,1,NA,2,1,1,NA,NA
"J23",2,15,NA,11,14,10,5,3
"J32",NA,7,NA,14,20,12,5,9
"J33",7,8,NA,11,10,10,7,5
"J41",NA,NA,NA,2,12,15,NA,NA
"J42",NA,NA,NA,NA,NA,NA,NA,NA
"J43",NA,NA,NA,NA,NA,NA,NA,NA
