"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",2,3,NA,6,7,1,NA,NA
"J11",1,2,NA,1,4,4,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,7,NA,4,3,5,3,1
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",1,6,NA,5,5,2,1,NA
"J41",1,4,NA,2,11,9,NA,NA
"J42",NA,5,NA,2,4,5,NA,NA
"J43",1,3,NA,3,6,5,NA,1
