"","03-A","03-B","03-B_Pop1","03-C","03-D","03-E","03-F","03-G"
"J10",78.2,78.33,NA,79.43,103.3,117.67,NA,NA
"J11",10.8,7.73,NA,12.57,14.83,22.33,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,6.37,NA,8.7,9.13,10.47,12.1,13.3
"J23",NA,NA,NA,NA,NA,NA,NA,NA
"J32",NA,NA,NA,NA,NA,NA,NA,NA
"J33",62.04,62.52,NA,67,70.08,70.56,71,NA
"J41",50.9,50.4,NA,49.5,47.73,47.03,NA,NA
"J42",NA,7,NA,10.07,15.87,16.73,NA,NA
"J43",63.17,63.1,NA,62.23,66.1,65.9,NA,65.47
