"","28-PosterA","28-PosterB","28-PosterC"
"J10",NA,NA,NA
"J11",NA,NA,NA
"J21",NA,NA,NA
"J22",NA,NA,NA
"J23",1,NA,1
"J32",NA,NA,NA
"J33",NA,NA,NA
"J41",NA,NA,NA
"J42",NA,NA,NA
"J43",NA,NA,NA
