"","28-PosterA","28-PosterB","28-PosterC"
"J10",NA,NA,NA
"J11",NA,NA,NA
"J21",NA,NA,NA
"J22",NA,NA,NA
"J23",NA,NA,NA
"J32",NA,NA,NA
"J33",NA,NA,NA
"J41",NA,NA,NA
"J42",0.67,3.8,0.4
"J43",NA,NA,NA
