"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1
"J11",NA,NA,NA,6,3,2,NA,NA,NA,NA,7,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"J22",NA,NA,NA,4,3,NA,NA,NA,NA,NA,2,2
"J23",1,1,1,7,NA,2,NA,1,1,NA,9,9
"J32",1,2,NA,2,NA,2,NA,NA,NA,NA,3,NA
"J33",NA,NA,NA,4,5,2,1,2,NA,2,9,2
"J41",NA,NA,NA,2,3,NA,NA,NA,NA,NA,5,1
"J42",6,2,NA,1,5,NA,NA,1,NA,NA,9,NA
"J43",1,NA,NA,3,2,NA,NA,NA,NA,NA,1,NA
