"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,239.6,242,NA,NA,NA,NA,NA,239.96,NA
"J11",684.09,688.79,690.56,674.36,673.43,672.63,679.59,672.43,683.99,672.89,676.09,676.39
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.97,NA
"J22",124.53,NA,NA,NA,NA,124.23,NA,NA,NA,NA,129.3,137.53
"J23",379.76,387.63,391.33,399.93,428.66,393.86,NA,NA,NA,NA,395.13,402.13
"J32",353.73,NA,NA,NA,NA,354.33,NA,NA,353.36,NA,308.06,318.23
"J33",422.48,NA,NA,389.05,393.28,421.38,421.25,421.91,NA,387.48,389.31,418.41
"J41",264.96,293.96,NA,285.1,284.56,261.1,274.3,275.13,NA,NA,260.1,273.93
"J42",117.87,NA,NA,114.4,173.3,175.4,NA,NA,NA,NA,113.7,NA
"J43",107.13,NA,NA,110.27,110.2,NA,NA,NA,NA,NA,110.33,NA
