"","26-PosterA","26-PosterB"
"J10",NA,NA
"J11",NA,NA
"J21",NA,NA
"J22",NA,NA
"J23",NA,41.1
"J32",NA,NA
"J33",NA,206.77
"J41",NA,NA
"J42",NA,NA
"J43",NA,NA
